# This file is constucted by using https://github.com/Neo23x0/ti-falsepositives/tree/master
# This is a list of typical false positive hashes
# Description, Hash
1024 bytes 0x00, 0f343b0931126a20f133d67c2b018a3b, 60cacbf3d72e1e7834203da608037b1bf83b40e8, 5f70bf18a086007016e948b04aed3b82103a36bea41755b6cddfaf10ace3c6ef
1x1 pixel JPEG, c5e389341a0b19b6f045823abffc9814, c82cee5f957ad01068f487eecd430a1389e0d922, 995c770caeb45f7f0c1bc3affc60f11d8c40e16027df2cf711f95824f3534b6f
1x1 tracking pixel GIF, 325472601571f31e1bf00674c368d335, 2daeaa8b5f19f0bc209d976c02bd6acb51b00b0a, b1442e85b03bdcaf66dc58c7abb98745dd2687d86350be9a298a1d9382ac849b
2048 bytes 0x00, c99a74c555371a433d121f551d6c6398, 605db3fdbaff4ba13729371ad0c4fbab3889378e, e5a00aa9991ac8a5ee3109844d84a55583bd20572ad3ffcd42792f3c36b183ad
404 error message, 8e325dc2fea7c8900fc6c4b8c6c394fe, 1b3291d4eea179c84145b2814cb53e6a506ec201, 0b52c5338af355699530a47683420e48c7344e779d3e815ff9943cbfdc153cf2
404 error page, 60ac8e889a1c2af330432bf793164a14, 3a92d2a4e959dfdffb53d106689682efcf23178b, 70c65bd0e084398a87baa298c1fafa52afff402096cb350d563d309565c07e83
4096 bytes 0x00 - sometimes caused by an AV, 620f0b67a91f7f74151bc5be745b7110, 1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d, ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7
Empty Word document, e617348b8947f28e2a280dd93c75a6ad, 125da188e26bd119ce8cad7eeb1fc2dfa147ad47, 06f7826c2862d184a49e3672c0aa6097b11e7771a4bf613ec37941236c1a8e20
Empty file, d41d8cd98f00b204e9800998ecf8427e, da39a3ee5e6b4b0d3255bfef95601890afd80709, e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
File filled with 99 zeros - sometimes caused by an AV, fa8715078d45101200a6e2bf7321aa04, d991c16949bd5e85e768385440e18d493ce3aa46, 4b298058e1d5fd3f2fa20ead21773912a5dc38da3c0da0bbc7de1adfb6011f1c
File that contains 2
, 10400c6faf166902b52fb97042f1e0eb, f1d2d2f924e986ac86fdf7b36c94bcdf32beec15, df4e26a04a444901b95afef44e4a96cfae34690fff2ad2c66389c70079cdff2b
