# IP addresses taken from the NSO list generated by Amnesty from https://raw.githubusercontent.com/AmnestyTech/investigations/master/2018-08-01_nso/indicators.csv
# "Number","IP address","Rating", "Description"
"120","217.112.131.108","100","NSO IP by Amnesty"
"121","217.112.131.227","100","NSO IP by Amnesty"
"122","217.112.131.58","100","NSO IP by Amnesty"
"123","188.215.229.213","100","NSO IP by Amnesty"
"124","37.220.31.114","100","NSO IP by Amnesty"
"125","88.150.227.121","100","NSO IP by Amnesty"
"126","185.225.68.77","100","NSO IP by Amnesty"
"127","5.149.254.24","100","NSO IP by Amnesty"
"128","217.61.7.152","100","NSO IP by Amnesty"
"129","200.7.97.238","100","NSO IP by Amnesty"
"130","200.7.97.214","100","NSO IP by Amnesty"
"131","89.249.65.206","100","NSO IP by Amnesty"
"132","185.134.29.146","100","NSO IP by Amnesty"
"133","81.92.202.222","100","NSO IP by Amnesty"
"134","185.225.68.202","100","NSO IP by Amnesty"
"135","149.255.35.115","100","NSO IP by Amnesty"
"136","81.95.5.144","100","NSO IP by Amnesty"
"137","217.112.131.208","100","NSO IP by Amnesty"
"138","88.150.138.69","100","NSO IP by Amnesty"
"139","109.200.24.73","100","NSO IP by Amnesty"
"140","185.236.202.184","100","NSO IP by Amnesty"
"141","217.61.104.60","100","NSO IP by Amnesty"
"142","5.102.145.183","100","NSO IP by Amnesty"
"143","89.34.111.212","100","NSO IP by Amnesty"
"144","88.150.138.82","100","NSO IP by Amnesty"
"145","5.102.145.64","100","NSO IP by Amnesty"
"146","109.200.24.122","100","NSO IP by Amnesty"
"147","185.117.89.251","100","NSO IP by Amnesty"
"148","80.211.250.229","100","NSO IP by Amnesty"
"149","109.200.24.2","100","NSO IP by Amnesty"
"150","5.102.146.82","100","NSO IP by Amnesty"
"151","104.216.8.34","100","NSO IP by Amnesty"
"152","130.185.250.200","100","NSO IP by Amnesty"
"153","5.102.145.130","100","NSO IP by Amnesty"
"154","46.183.221.185","100","NSO IP by Amnesty"
"155","89.249.65.193","100","NSO IP by Amnesty"
"156","46.183.223.249","100","NSO IP by Amnesty"
"157","185.230.124.234","100","NSO IP by Amnesty"
"158","89.238.138.141","100","NSO IP by Amnesty"
"159","88.150.227.122","100","NSO IP by Amnesty"
"160","185.195.200.47","100","NSO IP by Amnesty"
"161","185.195.200.47","100","NSO IP by Amnesty"
"162","185.109.168.29","100","NSO IP by Amnesty"
"163","78.142.25.30","100","NSO IP by Amnesty"
"164","5.102.147.163","100","NSO IP by Amnesty"
"165","38.84.132.165","100","NSO IP by Amnesty"
"166","86.105.18.121","100","NSO IP by Amnesty"
"167","5.149.254.12","100","NSO IP by Amnesty"
"168","5.102.145.72","100","NSO IP by Amnesty"
"169","5.149.254.14","100","NSO IP by Amnesty"
"170","88.150.227.98","100","NSO IP by Amnesty"
"171","88.150.227.110","100","NSO IP by Amnesty"
"172","217.64.114.179","100","NSO IP by Amnesty"
"173","185.77.131.10","100","NSO IP by Amnesty"
"174","5.102.147.73","100","NSO IP by Amnesty"
"175","77.245.76.109","100","NSO IP by Amnesty"
"176","23.107.197.107","100","NSO IP by Amnesty"
"177","185.225.68.176","100","NSO IP by Amnesty"
"178","185.225.68.128","100","NSO IP by Amnesty"
"179","5.102.145.26","100","NSO IP by Amnesty"
"180","185.94.189.208","100","NSO IP by Amnesty"
"181","37.220.31.78","100","NSO IP by Amnesty"
"182","217.112.131.136","100","NSO IP by Amnesty"
"183","185.94.191.124","100","NSO IP by Amnesty"
"184","37.220.31.80","100","NSO IP by Amnesty"
"185","5.102.146.93","100","NSO IP by Amnesty"
"186","188.215.229.216","100","NSO IP by Amnesty"
"187","217.61.96.219","100","NSO IP by Amnesty"
"188","185.198.58.196","100","NSO IP by Amnesty"
"189","185.94.189.207","100","NSO IP by Amnesty"
"190","5.102.147.51","100","NSO IP by Amnesty"
"191","8.39.147.100","100","NSO IP by Amnesty"
"192","179.43.169.41","100","NSO IP by Amnesty"
"193","38.132.118.116","100","NSO IP by Amnesty"
"194","185.230.124.241","100","NSO IP by Amnesty"
"195","46.21.147.65","100","NSO IP by Amnesty"
"196","83.221.132.104","100","NSO IP by Amnesty"
"197","185.244.150.68","100","NSO IP by Amnesty"
"198","185.77.131.109","100","NSO IP by Amnesty"
"199","217.112.131.42","100","NSO IP by Amnesty"
"200","88.150.227.103","100","NSO IP by Amnesty"
"201","154.16.37.35","100","NSO IP by Amnesty"
"202","217.112.131.158","100","NSO IP by Amnesty"
"203","88.150.138.78","100","NSO IP by Amnesty"
"204","46.183.221.187","100","NSO IP by Amnesty"
"205","185.225.68.133","100","NSO IP by Amnesty"
"206","185.45.193.210","100","NSO IP by Amnesty"
"207","46.21.147.123","100","NSO IP by Amnesty"
"208","5.102.147.106","100","NSO IP by Amnesty"
"209","185.225.68.207","100","NSO IP by Amnesty"
"210","188.215.229.222","100","NSO IP by Amnesty"
"211","200.7.97.254","100","NSO IP by Amnesty"
"212","163.172.140.159","100","NSO IP by Amnesty"
"213","46.21.147.46","100","NSO IP by Amnesty"
"214","185.198.58.144","100","NSO IP by Amnesty"
"215","185.117.75.228","100","NSO IP by Amnesty"
"216","200.7.111.155","100","NSO IP by Amnesty"
"217","5.135.199.22","100","NSO IP by Amnesty"
"218","185.225.68.158","100","NSO IP by Amnesty"
"219","185.225.68.159","100","NSO IP by Amnesty"
"220","5.149.254.18","100","NSO IP by Amnesty"
"221","5.102.147.51","100","NSO IP by Amnesty"
"222","38.132.118.117","100","NSO IP by Amnesty"
"223","80.255.6.24","100","NSO IP by Amnesty"
"224","167.88.5.222","100","NSO IP by Amnesty"
"225","5.102.146.90","100","NSO IP by Amnesty"
"226","37.220.31.19","100","NSO IP by Amnesty"
"227","80.255.3.111","100","NSO IP by Amnesty"
"228","5.102.147.254","100","NSO IP by Amnesty"
"229","5.149.255.19","100","NSO IP by Amnesty"
"230","81.17.30.45","100","NSO IP by Amnesty"
"231","200.7.111.11","100","NSO IP by Amnesty"
"232","88.150.227.115","100","NSO IP by Amnesty"
"233","82.211.30.122","100","NSO IP by Amnesty"
"234","185.230.124.233","100","NSO IP by Amnesty"
"235","31.3.232.116","100","NSO IP by Amnesty"
"236","89.249.65.234","100","NSO IP by Amnesty"
"237","185.81.113.105","100","NSO IP by Amnesty"
"238","77.73.65.47","100","NSO IP by Amnesty"
"239","5.149.254.20","100","NSO IP by Amnesty"
"240","195.12.50.179","100","NSO IP by Amnesty"
"241","86.105.18.212","100","NSO IP by Amnesty"
"242","200.7.97.168","100","NSO IP by Amnesty"
"243","200.7.97.167","100","NSO IP by Amnesty"
"244","109.200.24.58","100","NSO IP by Amnesty"
